0 -> 
1 -> 1
2 -> 2
3 -> 3
4 -> 4
5 -> 5
6 -> 6
7 -> 7
8 -> 01
9 -> 11
10 -> 21
11 -> 31
12 -> 41
13 -> 51
14 -> 61
15 -> 71
16 -> 02
17 -> 12
18 -> 22
19 -> 32
20 -> 42
21 -> 52
22 -> 62
23 -> 72
24 -> 03
25 -> 13
26 -> 23
27 -> 33
28 -> 43
29 -> 53
30 -> 63
31 -> 73
32 -> 04
33 -> 14
34 -> 24
35 -> 34
36 -> 44
37 -> 54
38 -> 64
39 -> 74
40 -> 05
41 -> 15
42 -> 25
43 -> 35
44 -> 45
45 -> 55
46 -> 65
47 -> 75
48 -> 06
49 -> 16
50 -> 26
51 -> 36
52 -> 46
53 -> 56
54 -> 66
55 -> 76
56 -> 07
57 -> 17
58 -> 27
59 -> 37
60 -> 47
61 -> 57
62 -> 67
63 -> 77
64 -> 001
65 -> 101
66 -> 201
67 -> 301
68 -> 401
69 -> 501
70 -> 601
71 -> 701
72 -> 011
73 -> 111
74 -> 211
75 -> 311
76 -> 411
77 -> 511
78 -> 611
79 -> 711
80 -> 021
81 -> 121
82 -> 221
83 -> 321
84 -> 421
85 -> 521
86 -> 621
87 -> 721
88 -> 031
89 -> 131
90 -> 231
91 -> 331
92 -> 431
93 -> 531
94 -> 631
95 -> 731
96 -> 041
97 -> 141
98 -> 241
99 -> 341
100 -> 441
